Timestamp,RPM,Speed,Throttle,BrakePressure,Gear,OilPressure,EngineTemp,BatteryVoltage,EngineOn
8240,1430,14,42,0,2,34,111,140,1
8250,1520,15,45,0,2,35,111,140,1
8260,1616,16,48,0,2,36,111,140,1
8270,1718,17,51,0,2,37,111,140,1
8280,1826,18,54,0,2,38,111,140,1
8290,1940,19,57,0,2,39,111,140,1
8300,2060,20,60,0,2,40,111,140,1
8310,2186,21,63,0,2,41,111,140,1
8320,2318,22,66,0,2,43,111,140,1
8330,2456,23,69,0,2,44,111,140,1
8340,2600,24,72,0,3,46,111,140,1
8350,2750,25,75,0,3,47,111,140,1
8360,2906,26,78,0,3,49,111,140,1
8370,3068,27,81,0,3,50,111,140,1
8380,3236,28,84,0,3,52,111,140,1
8390,3410,29,87,0,3,54,111,140,1
8400,3590,30,90,0,3,55,111,140,1
8410,3776,31,93,0,3,57,111,140,1
8420,3968,32,96,0,3,59,111,140,1
8430,4166,33,99,0,4,61,111,140,1
8440,4370,34,102,0,4,63,111,140,1
8450,4574,35,102,0,4,65,111,140,1
8460,4778,36,102,0,4,67,111,140,1
8470,4982,37,102,0,4,69,111,140,1
8480,5186,38,102,0,4,71,111,140,1
8490,5390,39,102,0,4,73,111,140,1
8500,5594,40,102,0,5,75,111,140,1
8510,5798,41,102,0,5,77,111,140,1
8520,6002,42,102,0,5,80,111,140,1
8530,6206,43,102,0,5,82,111,140,1
8540,6410,44,102,0,5,84,111,140,1
8550,6614,45,102,0,5,86,111,140,1
8560,6818,46,102,0,5,88,111,140,1
8570,7000,47,102,0,5,90,111,140,1
8580,7000,48,102,0,5,90,111,140,1
8590,7000,49,102,0,5,90,111,140,1
8600,7000,50,102,0,5,90,111,140,1
8610,7000,51,102,0,5,90,111,140,1
8620,7000,52,102,0,5,90,111,140,1
8630,7000,53,102,0,5,90,111,140,1
8640,7000,54,102,0,5,90,111,140,1
8650,7000,55,102,0,5,90,111,140,1
8660,7000,56,102,0,5,90,111,140,1
8670,7000,57,102,0,5,90,111,140,1
8680,7000,58,102,0,5,90,111,140,1
8690,7000,59,102,0,5,90,111,140,1
8700,7000,60,102,0,5,90,111,140,1
8710,7000,61,102,0,5,90,111,140,1
8720,7000,62,102,0,5,90,111,140,1
8730,7000,63,102,0,5,90,111,140,1
8740,7000,64,102,0,5,90,111,140,1
8750,7000,65,102,0,5,90,111,140,1
8760,7000,66,102,0,5,90,111,140,1
8770,7000,67,102,0,5,90,111,140,1
8780,7000,68,102,0,5,90,111,140,1
8790,7000,69,102,0,5,90,111,140,1
8800,7000,70,102,0,5,90,111,140,1
8810,7000,70,102,0,5,90,111,140,1
8820,7000,70,102,0,5,90,111,140,1
8830,7000,70,102,0,5,90,111,140,1
8840,7000,70,102,0,5,90,111,140,1
8850,7000,70,102,0,5,90,111,140,1
8860,7000,70,102,0,5,90,111,140,1
8870,7000,70,102,0,5,90,111,140,1
8880,7000,70,102,0,5,90,111,140,1
8890,7000,70,102,0,5,90,111,140,1
8900,7000,70,102,0,5,90,111,140,1
8910,7000,70,102,0,5,90,111,140,1
8920,7000,70,102,0,5,90,111,140,1
8930,7000,70,102,0,5,90,111,140,1
8940,7000,70,102,0,5,90,111,140,1
8950,7000,70,102,0,5,90,111,140,1
8960,7000,70,102,0,5,90,111,140,1
8970,7000,70,102,0,5,90,111,140,1
8980,7000,70,102,0,5,90,111,140,1
8990,7000,70,102,0,5,90,111,140,1
9000,7000,63,97,20,5,90,111,140,1
9010,7000,51,92,40,5,90,111,140,1
9020,7000,36,87,60,5,90,111,140,1
9030,7000,22,82,80,5,90,111,140,1
9040,7000,20,77,100,5,90,111,140,1
9050,7000,20,72,100,5,90,111,140,1
9060,7000,20,67,100,5,90,111,140,1
9070,7000,20,62,100,5,90,111,140,1
9080,7000,20,57,100,5,90,111,140,1
9090,7000,20,52,100,5,90,111,140,1
9100,7000,20,47,100,5,90,111,140,1
9110,7000,20,42,100,5,90,111,140,1
9120,7000,20,37,100,5,90,111,140,1
9130,7000,20,32,100,5,90,111,140,1
9140,7000,20,27,100,5,90,111,140,1
9150,7000,20,22,100,5,90,111,140,1
9160,7000,20,17,100,5,90,111,140,1
9170,7000,20,12,100,5,90,111,140,1
9180,7000,20,7,100,5,90,111,140,1
9190,7000,20,2,100,5,90,111,140,1
9200,7000,20,100,100,5,90,111,140,1
9210,7000,20,95,100,5,90,111,140,1
9220,7000,20,90,100,5,90,111,140,1
9230,7000,20,85,100,5,90,111,140,1
9240,7000,20,80,100,5,90,111,140,1
9250,7000,20,75,100,5,90,111,140,1
9260,7000,20,70,100,5,90,111,140,1
9270,7000,20,65,100,5,90,111,140,1
9280,7000,20,60,100,5,90,111,140,1
9290,7000,20,55,100,5,90,111,140,1
9300,7000,20,50,100,5,90,111,140,1
9310,7000,20,45,100,5,90,111,140,1
9320,7000,20,40,100,5,90,111,140,1
9330,7000,20,35,100,5,90,111,140,1
9340,7000,20,30,100,5,90,111,140,1
9350,7000,20,25,100,5,90,111,140,1
9360,7000,20,20,100,5,90,111,140,1
9370,7000,20,15,100,5,90,111,140,1
9380,7000,20,10,100,5,90,111,140,1
9390,7000,20,5,100,5,90,111,140,1
9400,6900,20,0,100,5,89,111,140,1
9410,6800,20,0,100,5,88,111,140,1
9420,6700,20,0,100,5,87,111,140,1
9430,6600,20,0,100,5,86,111,140,1
9440,6500,20,0,100,5,85,111,140,1
9450,6400,20,0,100,5,84,111,140,1
9460,6300,20,0,100,5,83,111,140,1
9470,6200,20,0,100,5,82,111,140,1
9480,6100,20,0,100,5,81,111,140,1
9490,6000,20,0,100,5,80,111,140,1
9500,5900,20,0,100,5,79,111,140,1
9510,5800,20,0,100,5,78,111,140,1
9520,5700,20,0,100,5,77,111,140,1
9530,5600,20,0,100,5,76,111,140,1
9540,5500,20,0,100,5,75,111,140,1
9550,5400,20,0,100,4,74,111,140,1
9560,5300,20,0,100,4,73,111,140,1
9570,5200,20,0,100,4,72,111,140,1
9580,5100,20,0,100,4,71,111,140,1
9590,5000,20,0,100,4,70,111,140,1
9600,4900,20,0,100,4,69,111,140,1
9610,4800,20,0,100,4,68,111,140,1
9620,4700,20,0,100,4,67,111,140,1
9630,4600,20,0,100,4,66,111,140,1
9640,4500,20,0,100,4,65,111,140,1
9650,4400,20,0,100,4,64,111,140,1
9660,4300,20,0,100,4,63,111,140,1
9670,4200,20,0,100,4,62,111,140,1
9680,4100,20,0,100,4,61,111,140,1
9690,4000,20,0,100,4,60,111,140,1
9700,3900,20,0,100,3,59,111,140,1
9710,3800,20,0,100,3,58,111,140,1
9720,3700,20,0,100,3,57,111,140,1
9730,3600,20,0,100,3,56,111,140,1
9740,3500,20,0,100,3,55,111,140,1
9750,3400,20,0,100,3,54,111,140,1
9760,3300,20,0,100,3,53,111,140,1
9770,3200,20,0,100,3,52,111,140,1
9780,3100,20,0,100,3,51,111,140,1
9790,3000,20,0,100,3,50,111,140,1
9800,2900,20,0,100,3,49,111,140,1
9810,2800,20,0,100,3,48,111,140,1
9820,2700,20,0,100,3,47,111,140,1
9830,2600,20,0,100,3,46,111,140,1
9840,2500,20,0,100,3,45,111,140,1
9850,2400,20,0,100,2,44,111,140,1
9860,2300,20,0,100,2,43,111,140,1
9870,2200,20,0,100,2,42,111,140,1
9880,2100,20,0,100,2,41,111,140,1
9890,2000,20,0,100,2,40,111,140,1
9900,1900,20,0,100,2,39,111,140,1
9910,1800,20,0,100,2,38,111,140,1
9920,1700,20,0,100,2,37,111,140,1
9930,1600,20,0,100,2,36,111,140,1
9940,1500,20,0,100,2,35,111,140,1
9950,1400,20,0,100,2,34,111,140,1
9960,1300,20,0,100,2,33,111,140,1
9970,1200,20,0,100,2,32,111,140,1
9980,1100,20,0,100,2,31,111,140,1
9990,1000,20,0,100,2,30,111,140,1
10000,900,20,0,90,2,29,111,140,1
10010,800,20,0,80,2,28,111,140,1
